GLOBAL_UID,CCF_UID,COGNITIVE_CHALLENGE_FAMILY_NUMBER,COGNITIVE_CHALLENGE_FAMILY,COGNITIVE_CHALLENGE_NUMBER,COGNITIVE_CHALLENGE_FULL,COGNITIVE_CHALLENGE,TECHNOLOGY_NUMBER,TECHNOLOGY,VALUE,binary,weighted
949,108,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,22,Visual/light indicators,0,0,0
950,109,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,23,1D visual displays,1,1,1
951,110,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,24,3D visual displays,1,1,1
952,111,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,25,Virtual reality headsets,1,1,1
953,112,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,26,Augmented reality glasses,1,1,1
954,113,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,27,Audio indicators,0,0,0
955,114,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,28,Brain computer interface,1,1,3
956,115,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,29,Olfactory interfaces,0,0,0
957,116,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,1,Touchscreens,1,1,3
958,117,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,2,Touch-interactive large objects,1,1,1
959,118,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,3,Gesture and movement sensors,1,1,1
960,119,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,4,Handheld controllers,0,0,0
961,120,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,5,Keyboard and text input devices,0,0,0
962,121,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,6,Drawing or writing implements,1,1,1
963,122,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,7,Image recognition cameras,1,1,3
964,123,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,8,Eye tracking equipment,1,1,3
965,124,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,9,Physiological monitors,1,1,1
966,125,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,10,Physical virtual reality control interfaces,0,0,0
967,126,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,11,Smart clothing and other wearables,1,1,1
968,127,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,12,Telepresence equipment,1,1,3
969,128,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,13,Speech-based interfaces,0,0,0
970,129,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,14,Vehicle controls,0,0,0
971,130,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,15,Robot controller interfaces,0,0,0
972,131,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,16,Exoskeletons,0,0,0
973,132,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,17,Body-integrated interfaces,1,1,1
974,133,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,18,Smart home devices,1,1,1
975,134,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,19,Rapid 3D modelling,1,1,1
976,135,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,20,Haptic feedback equipment,0,0,0
977,136,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,21,Physical/tactile displays,1,1,3
978,137,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,22,Visual/light indicators,1,1,1
979,138,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.5,"Making use of ubiquitous surveillance data (e.g., from space).",Exploiting surveillance data,23,1D visual displays,1,1,3
